schema_name,table_name,rls_enabled,rls_forced,has_company_id,has_organisation_id,policy_count,select_policies,insert_policies,update_policies,delete_policies,uses_company_helper
cost_control,audit_events,t,t,f,t,1,1,1,1,1,f
cost_control,bank_accounts,t,t,f,t,1,1,1,1,1,f
cost_control,bank_connections,t,t,f,t,1,1,1,1,1,f
cost_control,bank_cost_matches,t,t,f,t,1,1,1,1,1,f
cost_control,bank_transactions,t,t,f,t,1,1,1,1,1,f
cost_control,budget_lines,t,t,f,t,1,1,1,1,1,f
cost_control,budget_versions,t,t,f,t,1,1,1,1,1,f
cost_control,budgets,t,t,f,t,1,1,1,1,1,f
cost_control,cost_allocations,t,t,f,t,1,1,1,1,1,f
cost_control,cost_centres,t,t,f,t,1,1,1,1,1,f
cost_control,cost_evidence,t,t,f,t,1,1,1,1,1,f
cost_control,cost_records,t,t,f,t,1,1,1,1,1,f
cost_control,cost_versions,t,t,f,t,1,1,1,1,1,f
cost_control,driver_days,t,t,f,t,1,1,1,1,1,f
cost_control,effective_pay_rates,t,t,f,t,1,1,1,1,1,f
cost_control,employee_cost_references,t,t,f,t,1,1,1,1,1,f
cost_control,financial_snapshots,t,t,f,t,1,1,1,1,1,f
cost_control,import_runs,t,t,f,t,1,1,1,1,1,f
cost_control,integration_exceptions,t,t,f,t,1,1,1,1,1,f
cost_control,integration_export_attempts,t,t,f,t,1,1,1,1,1,f
cost_control,integration_exports,t,t,f,t,1,1,1,1,1,f
cost_control,organisation_memberships,t,t,f,t,1,1,1,1,1,f
cost_control,organisations,t,t,f,f,1,1,1,1,1,f
cost_control,outbox_events,t,t,f,t,1,1,1,1,1,f
cost_control,pay_periods,t,t,f,t,1,1,1,1,1,f
cost_control,payroll_summary_imports,t,t,f,t,1,1,1,1,1,f
cost_control,quarantine_items,t,t,f,t,1,1,1,1,1,f
cost_control,review_items,t,t,f,t,1,1,1,1,1,f
cost_control,sage_code_mappings,t,t,f,t,1,1,1,1,1,f
cost_control,sage_connections,t,t,f,t,1,1,1,1,1,f
cost_control,sage_posting_results,t,t,f,t,1,1,1,1,1,f
cost_control,suppliers,t,t,f,t,1,1,1,1,1,f
cost_control,vehicles_ref,t,t,f,t,1,1,1,1,1,f
cost_control,wage_cost_batches,t,t,f,t,1,1,1,1,1,f
public,adblue_records,t,t,t,f,2,1,1,0,0,t
public,attendance_day_overrides,t,t,t,f,3,1,1,1,0,t
public,attendance_leave_audit,t,t,t,f,3,1,1,1,0,t
public,attendance_leave_requests,t,t,t,f,3,1,1,1,0,t
public,attendance_notes,t,t,t,f,3,1,1,1,0,t
public,attendance_return_to_work,t,t,t,f,3,1,1,1,0,t
public,audit_events,t,t,t,f,3,2,1,0,0,t
public,bay_reservations,t,t,t,f,1,1,0,0,0,t
public,body_condition_audit_events,t,t,t,f,3,2,1,0,0,t
public,body_inspection_media,t,t,t,f,3,1,1,1,0,t
public,body_inspections,t,t,t,f,3,1,1,1,0,t
public,booking_legs,t,t,t,f,3,1,1,1,0,t
public,bookings,t,t,t,f,3,1,1,1,0,t
public,command_page_snapshots,t,t,t,f,3,1,1,1,0,t
public,companies,t,t,f,f,3,2,0,1,0,t
public,company_compliance_settings,t,t,t,f,3,1,1,1,0,t
public,company_contract_acceptances,t,t,t,f,1,1,0,0,0,t
public,company_entitlement_overrides,t,t,t,f,1,1,0,0,0,t
public,company_holiday_defaults,t,t,t,f,3,1,1,1,0,t
public,company_memberships,t,t,t,f,4,2,1,1,0,t
public,company_security_policies,t,t,t,f,1,1,0,0,0,t
public,company_subscriptions,t,t,t,f,1,1,0,0,0,t
public,company_usage_limits,t,t,t,f,1,1,0,0,0,t
public,condition_acknowledgements,t,t,t,f,3,1,1,1,0,t
public,contracts,t,t,t,f,1,1,0,0,0,t
public,customer_contacts,t,t,t,f,1,1,0,0,0,t
public,customers,t,t,t,f,3,1,1,1,0,t
public,damage_observations,t,t,t,f,3,1,1,1,0,t
public,damage_responsibility_reviews,t,t,t,f,1,1,0,0,0,t
public,data_export_jobs,t,t,t,f,1,1,0,0,0,t
public,data_retention_policies,t,t,t,f,1,1,0,0,0,t
public,defects,t,t,t,f,3,1,1,1,0,t
public,depot_access,t,t,f,f,4,2,1,1,0,t
public,depot_stock_items,t,t,t,f,3,1,1,1,0,t
public,depot_stock_movements,t,t,t,f,2,1,1,0,0,t
public,depot_zones,t,t,t,f,1,1,0,0,0,t
public,depots,t,t,t,f,3,1,1,1,0,t
public,device_sync_cursors,t,t,t,f,1,1,1,1,1,t
public,dispatch_assignment_requests,t,t,t,f,1,1,0,0,0,t
public,dispatch_overrides,t,t,t,f,1,1,0,0,0,t
public,document_versions,t,t,t,f,1,1,0,0,0,t
public,domain_events,t,t,t,f,2,1,1,0,0,t
public,driver_app_accounts,t,t,t,f,3,1,1,1,0,t
public,driver_app_devices,t,t,t,f,3,1,1,1,0,t
public,driver_capabilities,t,t,f,f,1,1,0,0,0,t
public,driver_devices,t,t,f,t,3,1,1,1,0,t
public,driver_documents,t,t,t,f,3,1,1,1,0,t
public,driver_eligibility_results,t,t,t,f,3,1,1,1,0,t
public,driver_holiday_profiles,t,t,t,f,3,1,1,1,0,t
public,driver_job_execution_events,t,t,t,f,2,1,1,0,0,t
public,driver_requirement_requests,t,t,t,f,3,1,1,1,0,t
public,driver_requirements,t,t,t,f,3,1,1,1,0,t
public,driver_restrictions,t,t,t,f,3,1,1,1,0,t
public,driver_training,t,t,t,f,3,1,1,1,0,t
public,drivers,t,t,t,f,3,1,1,1,0,t
public,duties,t,t,t,f,3,1,1,1,0,t
public,duty_acknowledgements,t,t,t,f,3,1,1,1,0,t
public,duty_assignment_events,t,t,t,f,2,1,1,0,0,t
public,duty_closeouts,t,t,t,f,2,1,1,0,0,t
public,duty_live_positions,t,t,t,f,3,1,1,1,0,t
public,duty_runs,t,t,f,f,2,1,1,0,0,t
public,email_verification_challenges,t,t,f,f,1,1,1,1,1,f
public,equipment_asset_events,t,t,t,f,2,1,1,0,0,t
public,equipment_assets,t,t,t,f,3,1,1,1,0,t
public,evidence_links,t,t,t,f,1,1,0,0,0,t
public,executive_annual_budgets,t,t,t,f,1,1,0,0,0,f
public,executive_board_meetings,t,t,t,f,1,1,0,0,0,f
public,executive_budget_mandates,t,t,t,f,1,1,0,0,0,f
public,executive_company_records,t,t,t,f,4,2,1,1,0,t
public,executive_conflicts,t,t,t,f,1,1,0,0,0,f
public,executive_continuity_drills,t,t,t,f,1,1,0,0,0,f
public,executive_decisions,t,t,t,f,1,1,0,0,0,f
public,executive_document_access_events,t,t,t,f,1,1,0,0,0,f
public,executive_document_files,t,t,t,f,1,1,0,0,0,f
public,executive_legal_holds,t,t,t,f,1,1,0,0,0,f
public,executive_policies,t,t,t,f,4,2,1,1,0,t
public,executive_retention_purge_jobs,t,t,t,f,1,1,0,0,0,f
public,executive_security_settings,t,t,t,f,1,1,0,0,0,f
public,executive_sensitive_action_approvals,t,t,t,f,1,1,0,0,0,f
public,executive_sensitive_action_requests,t,t,t,f,1,1,0,0,0,f
public,executive_sensitive_execution_outcomes,t,t,t,f,1,1,0,0,0,f
public,file_objects,t,t,t,f,4,2,1,1,0,t
